agency,department,name,title,room_number,street_address,city,state,zip_code,telephone,fax,email_address,website,online_request_form,notes
Broadcasting Board of Governors,Broadcasting Board of Governors,Andrew T. Krog,"FOIA/Privacy Act Officer, BBG/FOIA/PA Unit",Room 3349,"330 Independence Avenue, SW",Washington,DC,20237,(202) 203-4550,(202) 203-4585,,http://www.bbg.gov/reports/foia/,,
Broadcasting Board of Governors,Broadcasting Board of Governors,Andrew T. Krog,FOIA Requester Service Center,Room 3349,"330 Independence Avenue, SW",Washington,DC,20237,(202) 203-4550,(202) 203-4585,,http://www.bbg.gov/reports/foia/,,
Broadcasting Board of Governors,Broadcasting Board of Governors,Andrew T. Krog,FOIA Public Liaison,Room 3349,"330 Independence Avenue, SW",Washington,DC,20237,(202) 203-4550,(202) 203-4585,,http://www.bbg.gov/reports/foia/,,
Central Intelligence Agency ,Central Intelligence Agency ,Michael Lavergne,Information and Privacy Coordinator,,Central Intelligence Agency,Washington,DC,20505,(703) 613-1287,(703) 613-3007,,http://www.foia.cia.gov/,,
Central Intelligence Agency ,Central Intelligence Agency ,,FOIA Requester Service Center,,FOIA Requester Service Center,Washington,DC,20505,(703) 613-1287,(703) 613-3007,,,,
Central Intelligence Agency ,Central Intelligence Agency ,"Scott Koch, Michael Lavergne",FOIA Public Liaison,,FOIA Requester Service Center,Washington,DC,20505,(703) 613-1287,(703) 613-3007,,,,
Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,Michele Bouziane,CSB FOIA Officer,Suite 910,1750 Pennsylvania Avenue ,Washington,DC,20006,(202) 261-7619,(202) 261-7650,michele.bouziane@csb.gov,http://www.csb.gov/disclaimers/legal-affairs-foia/,,
Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,,FOIA Requester Service Center,,,,,,(202) 261-7619,,,,,
Chemical Safety and Hazard Investigation Board,Chemical Safety and Hazard Investigation Board,Michele Bouziane,FOIA Public Liaison,,,,,,(202) 261-7619,,michele.bouziane@csb.gov,,,
Commission on Civil Rights,Commission on Civil Rights,Jennifer Cron Hepler,Attorney-Advisor,Suite 1150,"1331 Pennsylvania Ave, NW",Washington,DC,20425,(202) 376-8351,(202) 376-1163,mailto:foia@usccr.gov,http://www.usccr.gov/foia/index.php,,
Commission on Civil Rights,Commission on Civil Rights,,FOIA Requester Service Center,,,,,,(202) 376-8351,(202) 376-1163,mailto:foia@usccr.gov,,,
Commission on Civil Rights,Commission on Civil Rights,Brian Walch,FOIA Public Liaison,,,,,,(202) 376-8371,,,,,
Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,Tina Ballard,Executive Director,Suite 715,1401 S. Clark St,Arlington ,VA,22202-4302,(703) 603-7740,,,"http://www.abilityone.gov/laws,_regulations_and_policy/foia.html",,
Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,Wakita C. Wilson,FOIA Administrator,,,,,,(703) 603-7740,,mailto:FOIA@AbilityOne.gov,,,
Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,Barry Lineback,FOIA Public Liaison,,,,,,(703) 603-7740,,mailto:blineback@abilityone.gov,,,
Commodity Futures Trading Commission,Commodity Futures Trading Commission,FOIA Contact,CFTC FOIA Office,Three Lafayette Centre,"1155 21st Street, N.W.",Washington,DC,20581,(202) 418-5497,(202) 418-5524,,http://www.cftc.gov/FOI/index.htm,,
Commodity Futures Trading Commission,Commodity Futures Trading Commission,,FOIA Requester Service Center,,,,,,(202) 418-5497,,,,,
Commodity Futures Trading Commission,Commodity Futures Trading Commission,Linda Mauldin,FOIA Public Liaison,,,,,,(202) 418-5497,,,,,
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,Chief FOIA Officer,,"1700 G Street, NW",Washington,DC,20552,(855) 444-3642,(855) 329-3642,mailto:foia@cfpb.gov,http://www.consumerfinance.gov/foia/,,
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,FOIA Requester Service Center,,,,,,(855) 444-3642,,,,,
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Mark Vugrinovich,FOIA Public Liaison,,,,,,(202) 435-9499,,,,,
Consumer Product Safety Commission,Consumer Product Safety Commission,Alberta E. Mills,FOIA Officer,U.S. Consumer Product Safety Commission,4330 East West Highway,Bethesda,MD,20814-4408,(301) 504-7923,(301) 504-0127,mailto:cpsc-foia@cpsc.gov,http://www.cpsc.gov/en/Newsroom/FOIA/,,
Consumer Product Safety Commission,Consumer Product Safety Commission,Todd A. Stevenson,Chief FOIA Officer,U.S. Consumer Product Safety Commission,4330 East West Highway,Bethesda,MD,20814-4408,(301) 504-7923,(301) 504-0127,mailto:cpsc-foia@cpsc.gov,,,
Consumer Product Safety Commission,Consumer Product Safety Commission,Lynn Carter,FOIA Public Liaison,U.S. Consumer Product Safety Commission,4330 East West Highway,Bethesda,MD,20814-4408,(301) 504-6890,(301) 504-0127,mailto:lcarter@cpsc.gov,,,
Consumer Product Safety Commission,Consumer Product Safety Commission,Deborah Acosta,FOIA Public Liaison,U.S. Consumer Product Safety Commission,4330 East West Highway,Bethesda,MD,20814-4408,(301) 504-6821,(301) 504-0127,mailto:dacosta@cpsc.gov,,,
Corporation for National and Community Service,Corporation for National and Community Service,Stephanie A. Soper,"Freedom of Information Act Officer, Office of the General Counsel",Room 2253B,"250 E Street, SW",Washington,DC,20525,(202) 606-6747,(202) 606-3467,mailto:foia@cns.gov,http://www.nationalservice.gov/home/foia/index.asp,,
Corporation for National and Community Service,Corporation for National and Community Service,Stephanie A. Soper,FOIA Requester Service Center,Room 2253B,"250 E Street, SW",Washington,DC,20525,(202) 606-6747,(202) 606-3467,mailto:ssoper@cns.gov,,,
Corporation for National and Community Service,Corporation for National and Community Service,Wilsie Y. Minor,FOIA Public Liaison,Room 2254,"250 E Street, SW",Washington,DC,20525,(202) 606-6673,(202) 606-3467,mailto:wminor@cns.gov,,,
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,FOIA Contact,Suite 825,"1717 H Street, NW",Washington,DC,20006,(202) 292-2600,(202) 254-0162,mailto:FOIAStaff@cigie.gov,http://www.ignet.gov/foia.html,,
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,FOIA Requester Service Center,,,,,,(202) 616-0646,,,,,
Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Deborah Waller ,"Supervisory Government Information Specialist, Office of the Inspector General, U.S. Department of Justice",,,,,,(202) 616-0646,,,,,
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Rochelle Carpenter,"Government Information Specialist, Office of the General Counsel",Room 1220,"633 Indiana Avenue, NW",Washington,DC,20004-2902,(202) 220-5300,(202) 220-5350,,http://www.csosa.gov/about/foia/overview.aspx,http://www.csosa.gov/about/foia/foia-request-form.aspx,
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,,FOIA Requester Service Center,,,,,,(202) 220-5300,,,,,
Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Rochelle Carpenter,FOIA Public Liaison,Room 1220,"633 Indiana Avenue, NW",Washington,DC,20004-2902,(202) 220-5300,(202) 220-5360,mailto:Rochelle.Carpenter@csosa.gov,,,
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Katherine Herrera,Information/FOIA Officer,Suite 700,"625 Indiana Avenue, NW",Washington,DC,20004,(800) 788-4016,,mailto:FOIA@dnfsb.gov,http://www.dnfsb.gov/foia-reading-room,,
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Katherine Herrera,FOIA Requester Service Center,,,,,,(800) 788-4016,,,,,
Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Katherine Herrera,FOIA Public Liaison,,,,,,(800) 788-4016,,,,,
National Headquarters,Environmental Protection Agency,Larry Gottesman,National Freedom of Information Officer,(2822T),"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,http://www.epa.gov/foia/index.html,https://foiaonline.regulations.gov/foia/action/public/home,
National Headquarters,Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(202) 566-1667,,,,,
National Headquarters,Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 1 (States: CT, ME, MA, NH, RI, VT)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 1 (OARM01-6)",Suite 100,5 Post Office Square,Boston,MA,02109-3912,(617) 918-1102,,,http://www.epa.gov/ne/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 1 (States: CT, ME, MA, NH, RI, VT)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(617) 918-1102,,,,,
"Region 1 (States: CT, ME, MA, NH, RI, VT)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 2 (States: NJ, NY, PR VI)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 2",26th Floor,290 Broadway,New York,NY,10007-1866,(212) 637-3668 ,,,http://www.epa.gov/region02/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 2 (States: NJ, NY, PR VI)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(212) 637-3668 ,,,,,
"Region 2 (States: NJ, NY, PR VI)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 3 (States: DE, DC, MD, PA, VA, WV)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 3",(3C610),1650 Arch Street,Philadelphia,PA,19103,(215) 814-3424,,,http://www.epa.gov/region03/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 3 (States: DE, DC, MD, PA, VA, WV)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(215) 814-3424,,,,,
"Region 3 (States: DE, DC, MD, PA, VA, WV)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 4 (States: AL, FL, GA, KY, MS, NC, SC, TN)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 4","AFC Building, 9th Floor (4PM/IF)","61 Forsyth Street, SW",Atlanta,GA,30303-8960,(404) 562-9891,,,http://www.epa.gov/region4/foiapgs,http://www.epa.gov/foia/requestform.html,
"Region 4 (States: AL, FL, GA, KY, MS, NC, SC, TN)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(404) 562-9891,,,,,
"Region 4 (States: AL, FL, GA, KY, MS, NC, SC, TN)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 5 (States: IL, IN, MI, MN, OH, WI)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 5",(MI-9),77 West Jackson Boulevard,Chicago,IL,60604-3590,(312) 886-6686,,,http://www.epa.gov/region5/foia.htm,http://www.epa.gov/foia/requestform.html,
"Region 5 (States: IL, IN, MI, MN, OH, WI)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(312) 886-6686,,,,,
"Region 5 (States: IL, IN, MI, MN, OH, WI)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 6 (States: AR, LA, NM, OK, TX)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 6",(6MD-OE),1445 Ross Avenue,Dallas,TX,75202-2733,(214) 665-7202,,,http://www.epa.gov/earth1r6/6md/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 6 (States: AR, LA, NM, OK, TX)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(214) 665-7202,,,,,
"Region 6 (States: AR, LA, NM, OK, TX)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 7 (States: IA, KS, MO, NE)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 7",,11201 Renner Boulevard,Lenexa,KS,66219,(913) 551-7860,,,http://www.epa.gov/region07/citizens/foia/index.htm,http://www.epa.gov/foia/requestform.html,
"Region 7 (States: IA, KS, MO, NE)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(913) 551-7860,,,,,
"Region 7 (States: IA, KS, MO, NE)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 8 (States: CO, MT, ND, SD, UT, WY)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 8",,1595 Wynkoop Street,Denver,CO,80202-1129,(303) 312-6856,,,http://www.epa.gov/region8/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 8 (States: CO, MT, ND, SD, UT, WY)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(303) 312-6856,,,,,
"Region 8 (States: CO, MT, ND, SD, UT, WY)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 9 (States: AZ, CA, HI, NV, AS, GU)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 9",(OPPA-2),75 Hawthorne Street,San Francisco,CA,94105,(415) 947-4251,,,http://www.epa.gov/region09/foia/index.html,http://www.epa.gov/foia/requestform.html,
"Region 9 (States: AZ, CA, HI, NV, AS, GU)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(415) 947-4251,,,,,
"Region 9 (States: AZ, CA, HI, NV, AS, GU)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
"Region 10 (States: AK, ID, OR, WA)",Environmental Protection Agency,Regional Freedom of Information Officer,"U.S. EPA, Region 10",Office of External Affairs ,1200 6th Avenue (CEC-142),Seattle ,WA,98101,(206) 553-8665,,,http://yosemite.epa.gov/r10/extaff.nsf/webpage/freedom+of+information+act,http://www.epa.gov/foia/requestform.html,
"Region 10 (States: AK, ID, OR, WA)",Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(206) 553-8665,,,,,
"Region 10 (States: AK, ID, OR, WA)",Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
I don't know which office,Environmental Protection Agency,Larry Gottesman,National Freedom of Information Officer,(2822T),"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,http://www.epa.gov/foia/index.html,http://www.epa.gov/foia/requestform.html,
I don't know which office,Environmental Protection Agency,,FOIA Requester Service Center,,,,,,(202) 566-1667,,,,,
I don't know which office,Environmental Protection Agency,Larry Gottesman,FOIA Public Liaison,Mail Code 2822T,"1200 Pennsylvania Avenue, NW",Washington,DC,20460,(202) 566-1667,,,,,
Headquarters,Equal Employment Opportunity Commission,Stephanie Garner,Assistant Legal Counsel/FOIA,Suite 5NW02E,"131 M Street, NE",Washington,DC,20507,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,http://www.eeoc.gov/eeoc/foia/,,
Headquarters,Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Headquarters,Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Atlanta District Office (Savanna Local Office),Equal Employment Opportunity Commission,Nadetia Williams,Enforcement Manager,Suite 4R30,"100 Alabama Street, SW",Atlanta,GA,30303,"(404) 562-6835, (404) 562-6801 (TTY)",(404) 562-6909,mailto:ATLAFOIA@eeoc.gov,http://www.eeoc.gov/field/atlanta/foia.cfm,,
Atlanta District Office (Savanna Local Office),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Atlanta District Office (Savanna Local Office),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Birmingham District Office (Mobile Local Office, Jackson Area Office)",Equal Employment Opportunity Commission,Toniko Noland,Records Disclosure Coordinator,"Ridge Park Place, Suite 2000",1130 22nd Street,Birmingham,AL,35205,"(205) 212-2069, (205) 212-2112 (TTY)",(205) 212-2105,mailto:BIRMFOIA@eeoc.gov,http://www.eeoc.gov/field/birmingham/foia.cfm,,
"Birmingham District Office (Mobile Local Office, Jackson Area Office)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Birmingham District Office (Mobile Local Office, Jackson Area Office)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Charlotte District Office (Greensboro; Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office",Equal Employment Opportunity Commission,Francine Michaelson,Records Disclosure Coordinator,Suite 400,129 West Trade Street,Charlotte,NC,28202,(704)954-6424,(704) 344-6734,mailto:CHARFOIA@eeoc.gov,http://www.eeoc.gov/field/charlotte/foia.cfm,,
"Charlotte District Office (Greensboro; Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Charlotte District Office (Greensboro; Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,Sylvia Bustos,Records Disclosure Coordinator,Suite 2000,500 West Madison Street,Chicago,IL,60661,"(312) 869-8084, (312) 369-8001 (TTY)",(312) 869-8220,mailto: CHICFOIA@eeoc.gov,http://www.eeoc.gov/field/chicago/foia.cfm,,
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Dallas District Office (San Antonio Field Office, El Paso Area Office)",Equal Employment Opportunity Commission,Kelly Melton,Records Disclosure Coordinator,3rd Floor,207 S. Houston Street,Dallas,TX,75202-4726,"(214) 253-2780, (214) 253-2710 (TTY)",(214) 253-2749,mailto: DALLASFOIA@eeoc.gov,http://www.eeoc.gov/field/dallas/foia.cfm,,
"Dallas District Office (San Antonio Field Office, El Paso Area Office)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Dallas District Office (San Antonio Field Office, El Paso Area Office)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Houston District Office (New Orleans Field Office),Equal Employment Opportunity Commission,Vy Nguyen,Records Disclosure Coordinator,6th Floor,1202 Louisiana St.,Houston,TX,77002-8049,"(713) 209-3416, (713) 209-3439 (TTY)",(713) 209-3381,mailto;HOUSFOIA@eeoc.gov,http://www.eeoc.gov/field/houston/foia.cfm,,
Houston District Office (New Orleans Field Office),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Houston District Office (New Orleans Field Office),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Indianapolis District Office (Detroit Field Office, Cincinnati and Louisville Area Offices)",Equal Employment Opportunity Commission,Donnae Williams,Records Disclosure Coordinator,Suite 1900,101 West Ohio Street,Indianapolis,IN,46204-4203,"(317) 226-7952, (317) 226-5162 (TTY)",(317) 226-7953,mailto; INDIFOIA@eeoc.gov,http://www.eeoc.gov/field/indianapolis/foia.cfm,,
"Indianapolis District Office (Detroit Field Office, Cincinnati and Louisville Area Offices)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Indianapolis District Office (Detroit Field Office, Cincinnati and Louisville Area Offices)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"Los Angeles District Office (Fresno, Honolulu, Las Vegas, and San Diego Local Offices)",Equal Employment Opportunity Commission,Karen Reuter,Records Disclosure Coordinator,4th Floor,255 E. Temple Street,Los Angeles,CA,90012,"(213) 894-1042, (213) 894-1121",(213) 894-1118,mailto:LOSAFOIA@eeoc.gov,http://www.eeoc.gov/field/losangeles/foia.cfm,,
"Los Angeles District Office (Fresno, Honolulu, Las Vegas, and San Diego Local Offices)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"Los Angeles District Office (Fresno, Honolulu, Las Vegas, and San Diego Local Offices)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Memphis District Office (Little Rock and Nashville Area Offices),Equal Employment Opportunity Commission,Clarence Manuel,Enforcement Manager,Suite 900,1407 Union Avenue,Memphis,TN,38104,"(901) 544-0100, (901) 544-0112 (TTY)",(901) 544-0111,mailto:MEMPFOIA@eeoc.gov,http://www.eeoc.gov/field/memphis/foia.cfm,,
Memphis District Office (Little Rock and Nashville Area Offices),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Memphis District Office (Little Rock and Nashville Area Offices),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
Miami District Office (Tampa Field Office and San Juan Local Office),Equal Employment Opportunity Commission,Carmen Figueroa-Martinez,Records Disclosure Coordinator,Suite 1500,100 SE Street,Miami,FL,33131,"(787) 771-1471, (305) 808-1742 (TTY)",(305) 808-1855,mailto: MIAMFOIA@eeoc.gov,http://www.eeoc.gov/field/miami/foia.cfm,,
Miami District Office (Tampa Field Office and San Juan Local Office),Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
Miami District Office (Tampa Field Office and San Juan Local Office),Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
"New York District Office (Boston and Newark Area Offices, Buffalo Local Office)",Equal Employment Opportunity Commission,David Phillips,Records Disclosure Coordinator,5th Floor,33 Whitehall Street,New York,NY,10004,"(212) 336-3644, (212) 336-3622 (TTY)",(212) 336-3625,mailto:NEWYFOIA@eeoc.gov,http://www.eeoc.gov/field/newyork/foia.cfm,,
"New York District Office (Boston and Newark Area Offices, Buffalo Local Office)",Equal Employment Opportunity Commission,,FOIA Requester Service Center,,,,,,"(202) 663-4500, (202) 663-7026 (TTY)",(202) 653-6034,mailto:FOIA@EEOC.gov,,,
"New York District Office (Boston and Newark Area Offices, Buffalo Local Office)",Equal Employment Opportunity Commission,Stephanie Garner,FOIA Public Liaison,,,,,,"(202) 663-4634, (202) 663-7026 (TTY)",(202) 653-6034,,,,
